央视,#genre#
甘肃卫视,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/gansu.m3u8
云南卫视,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/yunnan.m3u8
兵团卫视,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/bintuan.m3u8
地方,#genre#
上海新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=651632657
上视东方影视,http://000.hfr1107.top/smt/migu_hd.php?id=617290047
上海第一财经,http://000.hfr1107.top/smt/migu_hd.php?id=608780988
南京新闻综合频道,http://000.hfr1107.top/smt/migu_hd.php?id=838109047
南京教科频道,http://000.hfr1107.top/smt/migu_hd.php?id=838153729
南京十八频道,http://000.hfr1107.top/smt/migu_hd.php?id=838151753
体育休闲频道,http://000.hfr1107.top/smt/migu_hd.php?id=626064707
江苏城市频道,http://000.hfr1107.top/smt/migu_hd.php?id=626064714
江苏国际,http://000.hfr1107.top/smt/migu_hd.php?id=626064674
江苏教育,http://000.hfr1107.top/smt/migu_hd.php?id=628008321
江苏影视频道,http://000.hfr1107.top/smt/migu_hd.php?id=626064697
江苏综艺频道,http://000.hfr1107.top/smt/migu_hd.php?id=626065193
公共新闻频道,http://000.hfr1107.top/smt/migu_hd.php?id=626064693
盐城新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639731825
淮安新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639731826
泰州新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639731818
连云港新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639731715
宿迁新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639731832
徐州新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639731747
优漫卡通频道,http://000.hfr1107.top/smt/migu_hd.php?id=626064703
江阴新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=955227979
南通新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=955227985
宜兴新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=955227996
苏州新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639731952
溧水新闻综合,http://000.hfr1107.top/smt/migu_hd.php?id=639737327
陕西银龄频道,http://000.hfr1107.top/smt/migu_hd.php?id=956909362
陕西都市青春频道,http://000.hfr1107.top/smt/migu_hd.php?id=956909358
陕西体育休闲频道,http://000.hfr1107.top/smt/migu_hd.php?id=956909356
陕西秦腔频道,http://000.hfr1107.top/smt/migu_hd.php?id=956909303
陕西新闻资讯频道,http://000.hfr1107.top/smt/migu_hd.php?id=956909289
财富天下,http://000.hfr1107.top/smt/migu_hd.php?id=956923159
影视,#genre#
高能悬疑 推理时刻,http://000.hfr1107.top/smt/migu_hd.php?id=625133682
抗战经典影片,http://000.hfr1107.top/smt/migu_hd.php?id=617432318
新片放映厅,http://000.hfr1107.top/smt/migu_hd.php?id=619495952
CHC 影迷电影,http://000.hfr1107.top/smt/migu_hd.php?id=952383261
CHC 动作电影,http://000.hfr1107.top/smt/migu_hd.php?id=644368714
CHC 家庭影院,http://000.hfr1107.top/smt/migu_hd.php?id=644368373
和美乡途轮播台,http://000.hfr1107.top/smt/migu_hd.php?id=713591450
高清大片,http://000.hfr1107.top/smt/migu_hd.php?id=629943678
南方影视,http://000.hfr1107.top/smt/migu_hd.php?id=614961829
新闻,#genre#
深度对话,http://000.hfr1107.top/smt/migu_hd.php?id=625703337
熊猫,#genre#
熊猫频道 01 高清,http://000.hfr1107.top/smt/migu_hd.php?id=609158151
熊猫频道 1,http://000.hfr1107.top/smt/migu_hd.php?id=608933610
熊猫频道 2,http://000.hfr1107.top/smt/migu_hd.php?id=608933640
熊猫频道 3,http://000.hfr1107.top/smt/migu_hd.php?id=608934619
熊猫频道 4,http://000.hfr1107.top/smt/migu_hd.php?id=608934721
熊猫频道 5,http://000.hfr1107.top/smt/migu_hd.php?id=608935104
熊猫频道 6,http://000.hfr1107.top/smt/migu_hd.php?id=608935797
熊猫频道 7,http://000.hfr1107.top/smt/migu_hd.php?id=609169286
熊猫频道 8,http://000.hfr1107.top/smt/migu_hd.php?id=609169287
熊猫频道 9,http://000.hfr1107.top/smt/migu_hd.php?id=609169226
熊猫频道 10,http://000.hfr1107.top/smt/migu_hd.php?id=609169285
综艺,#genre#
最强综艺趴,http://000.hfr1107.top/smt/migu_hd.php?id=629942228
少儿,#genre#
嘉佳卡通,http://000.hfr1107.top/smt/migu_hd.php?id=614952364
经典动画大集合,http://000.hfr1107.top/smt/migu_hd.php?id=629942219
纪实,#genre#
新动力量创一流,http://000.hfr1107.top/smt/migu_hd.php?id=713589837
印象天下,#genre#
钱塘江,http://000.hfr1107.top/smt/migu_hd.php?id=647370520
体育,#genre#
五环传奇,http://000.hfr1107.top/smt/migu_hd.php?id=707671890
赛事最经典,http://000.hfr1107.top/smt/migu_hd.php?id=646596895
掼蛋精英赛,http://000.hfr1107.top/smt/migu_hd.php?id=631354620
体坛名栏汇,http://000.hfr1107.top/smt/migu_hd.php?id=629943305
四海钓鱼,http://000.hfr1107.top/smt/migu_hd.php?id=637444975
咪咕 24 小时体育台,http://000.hfr1107.top/smt/migu_hd.php?id=654102378
教育,#genre#
CETV1,http://000.hfr1107.top/smt/migu_hd.php?id=923287154
CETV2,http://000.hfr1107.top/smt/migu_hd.php?id=923287211
CETV4,http://000.hfr1107.top/smt/migu_hd.php?id=923287339
cgtnar,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cgtnar.m3u8
cgtndoc,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cgtndoc.m3u8
cgtn,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cgtn.m3u8
cgtnfr,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cgtnfr.m3u8
cgtnru,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cgtnru.m3u8
cgtnsp,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cgtnsp.m3u8
重温经典,http://000.hfr1107.top/smt/migu_mcp.php?url=https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
五星体育,http://000.hfr1107.top/smt/migu_mcp.php?url=https://gdcucc.v1.mk/gdcucc/wxty.m3u8
中国教育电视台,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cetv1.m3u8
宁夏卫视,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/mcp/ningxia.m3u
西藏卫视,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/mcp/xizang.m3u
内蒙古卫视,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/mcp/neimenggu.m3u                                                                                                    
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
南京教科,http://live.nbs.cn/channels/njtv/jkpd/nbs06.m3u8
南京十八生活,http://live.nbs.cn/channels/njtv/sbsh/nbs24.m3u8
南京文旅纪录,http://live.nbs.cn/channels/njtv/wljl/nbs24.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
张家港新闻综合,http://3gvod.zjgonline.com.cn:1935/live/_definst_/xinwenzonghe_app/chunklist.m3u8
张家港民生,http://3gvod.zjgonline.com.cn:1935/live/_definst_/shehuishenghuo_app/chunklist.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州电影娱乐信息,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
江阴新闻综合,http://221.228.70.101:8080/live/xinwen.m3u8
宜兴新闻综合,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
宜兴紫砂,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_zs.m3u8
扬州新闻,http://cm.wshls.homecdn.com/live/8bb.m3u8
扬州城市,http://cm.wshls.homecdn.com/live/8bd.m3u8
扬州生活,http://cm.wshls.homecdn.com/live/8bf.m3u8
扬州江都,http://cm.wshls.homecdn.com/live/8c1.m3u8
扬州邗江,http://cm.wshls.homecdn.com/live/8c3.m3u8
连云港生活,http://live.lyg1.com/ggpd/sd/live.m3u8
镇江新闻综合,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
镇江民生,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
大丰新闻,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafengyt.m3u8
大丰公共,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8
如东新闻,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
靖江电视,http://58.222.151.43:1935/live/xwzhpc/playlist.m3u8
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8
句容生活,http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8
